Options:
Model:                           MultiState
Tree File Name:                  brady.rooted.nexus
Data File Name:                  brady.trait
Log File Name:                   brady.trait.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2846103684
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      100000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   brady.trait.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               F,M,V,f
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	TagBrady	2	Bradyrhizobium_oligotrophicum_S58 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Brady_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Rhodopseudomonas_palustris_BisB18 
	Tag_Rhodo	2	Rhodopseudomonas_palustris_BisB18 Rhodopseudomonas_palustris_HaA2 
	Tag_Rhodo1	2	Rhodopseudomonas_palustris_HaA2 Rhodopseudomonas_sp_B29 
Restrictions:
    qFM                          None
    qFV                          None
    qFf                          None
    qMF                          None
    qMV                          None
    qMf                          None
    qVF                          None
    qVM                          None
    qVf                          None
    qfF                          None
    qfM                          None
    qfV                          None
Prior Information:
    Prior Categories:            100
    Priors
        qFM - uniform 0.00 100.00 
        qFV - uniform 0.00 100.00 
        qFf - uniform 0.00 100.00 
        qMF - uniform 0.00 100.00 
        qMV - uniform 0.00 100.00 
        qMf - uniform 0.00 100.00 
        qVF - uniform 0.00 100.00 
        qVM - uniform 0.00 100.00 
        qVf - uniform 0.00 100.00 
        qfF - uniform 0.00 100.00 
        qfM - uniform 0.00 100.00 
        qfV - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	MRCA Node-01 TagBrady
	MRCA Node-02 Tag_Brady_Outgroup
	MRCA Node-03 Tag_Outgroup
	MRCA Node-04 Tag_Rhodo
	MRCA Node-05 Tag_Rhodo1
Tree Information
     Trees:                      2
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	qFM	qFV	qFf	qMF	qMV	qMf	qVF	qVM	qVf	qfF	qfM	qfV	Root P(F)	Root P(M)	Root P(V)	Root P(f)	Node-01 P(F)	Node-01 P(M)	Node-01 P(V)	Node-01 P(f)	Node-02 P(F)	Node-02 P(M)	Node-02 P(V)	Node-02 P(f)	Node-03 P(F)	Node-03 P(M)	Node-03 P(V)	Node-03 P(f)	Node-04 P(F)	Node-04 P(M)	Node-04 P(V)	Node-04 P(f)	Node-05 P(F)	Node-05 P(M)	Node-05 P(V)	Node-05 P(f)	
51000	-65.480404	2	8.318748	1.712658	6.103776	77.324267	5.155336	41.241079	6.373933	55.234675	94.866268	0.089365	21.155421	34.355195	0.212778	0.237192	0.268809	0.281220	0.502142	0.294015	0.123246	0.080597	0.292756	0.277022	0.228053	0.202169	0.146099	0.219937	0.302329	0.331634	0.089752	0.177391	0.330260	0.402597	0.020375	0.111292	0.352483	0.515850	
52000	-69.551666	2	1.477192	0.005859	15.597280	34.020798	48.417176	41.145891	17.057668	35.113974	24.591069	13.594463	9.417699	51.015741	0.227142	0.253877	0.257824	0.261157	0.529828	0.187058	0.152616	0.130499	0.345165	0.233780	0.216769	0.204286	0.226747	0.254436	0.257204	0.261613	0.188520	0.259508	0.268523	0.283448	0.099330	0.247666	0.229243	0.423761	
53000	-67.491741	1	0.035621	2.653469	6.242563	9.354878	25.295858	56.807387	39.087048	81.182148	71.959915	16.342446	39.409281	17.232288	0.146072	0.296979	0.269540	0.287410	0.659127	0.090370	0.144026	0.106477	0.290152	0.222436	0.253877	0.233535	0.102109	0.311383	0.284622	0.301886	0.050970	0.345355	0.280704	0.322971	0.011809	0.341123	0.270243	0.376824	
54000	-64.526921	1	9.753329	8.148511	3.386122	6.682346	0.653308	74.364366	18.474647	65.232553	84.967451	4.631734	8.613761	50.609150	0.246643	0.251271	0.250915	0.251170	0.882566	0.030078	0.054390	0.032966	0.559281	0.131722	0.170779	0.138219	0.207894	0.264608	0.263408	0.264090	0.117776	0.301872	0.282739	0.297613	0.033503	0.319766	0.293006	0.353725	
55000	-74.516723	1	28.932351	2.099584	1.096956	68.223199	33.470533	57.346247	4.110753	15.657722	96.174357	54.855031	5.832588	15.891125	0.250309	0.249987	0.249713	0.249991	0.274517	0.248676	0.228045	0.248762	0.252681	0.249901	0.247498	0.249920	0.237294	0.250523	0.261934	0.250248	0.217913	0.250754	0.280746	0.250586	0.066941	0.224497	0.432504	0.276058	
56000	-66.276010	1	3.304701	8.629546	2.518856	37.666398	69.866066	93.152428	37.975810	83.323547	61.773143	2.039219	28.007816	30.575217	0.203603	0.260277	0.257716	0.278403	0.608365	0.151041	0.162875	0.077719	0.318276	0.240748	0.246241	0.194735	0.135992	0.278493	0.272673	0.312842	0.077019	0.282338	0.270374	0.370269	0.015997	0.278574	0.253650	0.451780	
57000	-70.226625	2	5.791207	7.526128	4.656597	9.339425	56.758523	93.379818	41.459276	4.954862	79.887471	3.957671	14.701506	66.636035	0.237348	0.255429	0.251381	0.255842	0.536096	0.135490	0.198977	0.129437	0.322802	0.217510	0.245267	0.214422	0.181893	0.278676	0.258903	0.280527	0.127907	0.304407	0.258416	0.309269	0.033550	0.346499	0.247136	0.372814	
58000	-63.847676	2	1.396933	3.582400	4.884039	17.253802	24.804352	53.569261	9.352441	30.012293	36.650779	8.155582	8.733690	24.986043	0.149463	0.274158	0.284948	0.291430	0.851682	0.066118	0.045278	0.036922	0.411953	0.220823	0.190714	0.176510	0.111772	0.289551	0.293807	0.304870	0.043260	0.293731	0.314592	0.348417	0.010050	0.272327	0.249594	0.468029	
59000	-63.650876	1	1.001535	14.374604	5.605664	3.219361	6.718529	64.066303	46.812003	26.802667	85.406648	0.044404	3.867337	17.896527	0.258722	0.246418	0.250347	0.244513	0.880188	0.007493	0.105548	0.006771	0.599667	0.078082	0.246116	0.076135	0.208555	0.257678	0.273646	0.260120	0.087510	0.330950	0.242816	0.338725	0.025309	0.311578	0.225220	0.437893	
60000	-66.733127	1	8.475734	5.549433	5.148682	19.804598	2.043319	73.296471	60.321408	69.644553	99.537368	7.608805	29.763263	4.516274	0.234749	0.255410	0.251612	0.258229	0.677945	0.096153	0.163984	0.061917	0.392505	0.198313	0.242778	0.166404	0.177003	0.275198	0.262175	0.285624	0.109832	0.298634	0.257753	0.333781	0.029589	0.301734	0.245662	0.423015	
61000	-66.879348	2	2.910888	3.772755	15.782791	24.340524	20.706671	92.740872	50.788456	28.440640	31.391178	13.584926	39.276859	11.037932	0.241380	0.253978	0.249028	0.255614	0.420131	0.175220	0.251668	0.152981	0.298199	0.227989	0.255201	0.218612	0.219073	0.264391	0.246476	0.270060	0.183480	0.281378	0.239133	0.296010	0.076476	0.333056	0.181846	0.408622	
