Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.311199	
1000	0.321000	3.517826	1000	0.321000	0.321000	0.311254	
1000	0.340000	3.517826	1000	0.340000	0.340000	0.311413	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.311421	
1000	0.289000	3.517826	1000	0.289000	0.289000	0.311299	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.311324	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.311360	
1000	0.301000	3.517826	1000	0.301000	0.301000	0.311305	
1000	0.312000	3.517826	1000	0.312000	0.312000	0.311308	
1000	0.336000	3.517826	1000	0.336000	0.336000	0.311440	
1000	0.294000	3.517826	1000	0.294000	0.294000	0.311348	
1000	0.281000	3.517826	1000	0.281000	0.281000	0.311188	
1000	0.296000	3.517826	1000	0.296000	0.296000	0.311108	
1000	0.296000	3.517826	1000	0.296000	0.296000	0.311030	
1000	0.288000	3.517826	1000	0.288000	0.288000	0.310910	
1000	0.308000	3.517826	1000	0.308000	0.308000	0.310895	
1000	0.356000	3.517826	1000	0.356000	0.356000	0.311127	
1000	0.312000	3.517826	1000	0.312000	0.312000	0.311131	
1000	0.330000	3.517826	1000	0.330000	0.330000	0.311227	
1000	0.293000	3.517826	1000	0.293000	0.293000	0.311135	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.311194	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.311203	
1000	0.374000	3.517826	1000	0.374000	0.374000	0.311516	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.311548	
1000	0.319000	3.517826	1000	0.319000	0.319000	0.311585	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.311592	
1000	0.360000	3.517826	1000	0.360000	0.360000	0.311828	
1000	0.334000	3.517826	1000	0.334000	0.334000	0.311935	
1000	0.338000	3.517826	1000	0.338000	0.338000	0.312061	
1000	0.286000	3.517826	1000	0.286000	0.286000	0.311936	
1000	0.335000	3.517826	1000	0.335000	0.335000	0.312046	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.312065	
1000	0.320000	3.517826	1000	0.320000	0.320000	0.312103	
1000	0.328000	3.517826	1000	0.328000	0.328000	0.312178	
1000	0.314000	3.517826	1000	0.314000	0.314000	0.312186	
1000	0.304000	3.517826	1000	0.304000	0.304000	0.312148	
1000	0.275000	3.517826	1000	0.275000	0.275000	0.311975	
1000	0.325000	3.517826	1000	0.325000	0.325000	0.312036	
1000	0.301000	3.517826	1000	0.301000	0.301000	0.311985	
1000	0.340000	3.517826	1000	0.340000	0.340000	0.312113	
1000	0.332000	3.517826	1000	0.332000	0.332000	0.312204	
1000	0.328000	3.517826	1000	0.328000	0.328000	0.312276	
1000	0.333000	3.517826	1000	0.333000	0.333000	0.312370	
1000	0.288000	3.517826	1000	0.288000	0.288000	0.312260	
1000	0.290000	3.517826	1000	0.290000	0.290000	0.312160	
1000	0.303000	3.517826	1000	0.303000	0.303000	0.312119	
1000	0.329000	3.517826	1000	0.329000	0.329000	0.312194	
1000	0.349000	3.517826	1000	0.349000	0.349000	0.312357	
1000	0.365000	3.517826	1000	0.365000	0.365000	0.312589	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.312635	
1000	0.339000	3.517826	1000	0.339000	0.339000	0.312750	
1000	0.339000	3.517826	1000	0.339000	0.339000	0.312864	
1000	0.294000	3.517826	1000	0.294000	0.294000	0.312782	
1000	0.289000	3.517826	1000	0.289000	0.289000	0.312680	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.312737	
1000	0.297000	3.517826	1000	0.297000	0.297000	0.312670	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.312658	
1000	0.308000	3.517826	1000	0.308000	0.308000	0.312639	
1000	0.348000	3.517826	1000	0.348000	0.348000	0.312788	
1000	0.272000	3.517826	1000	0.272000	0.272000	0.312616	
1000	0.286000	3.517826	1000	0.286000	0.286000	0.312505	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.312499	
1000	0.309000	3.517826	1000	0.309000	0.309000	0.312484	
1000	0.336000	3.517826	1000	0.336000	0.336000	0.312581	
1000	0.335000	3.517826	1000	0.335000	0.335000	0.312674	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.312663	
1000	0.319000	3.517826	1000	0.319000	0.319000	0.312689	
1000	0.348000	3.517826	1000	0.348000	0.348000	0.312832	
1000	0.319000	3.517826	1000	0.319000	0.319000	0.312857	
1000	0.288000	3.517826	1000	0.288000	0.288000	0.312757	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.312778	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.312831	
1000	0.340000	3.517826	1000	0.340000	0.340000	0.312939	
1000	0.349000	3.517826	1000	0.349000	0.349000	0.313082	
1000	0.277000	3.517826	1000	0.277000	0.277000	0.312939	
1000	0.248000	3.517826	1000	0.248000	0.248000	0.312684	
1000	0.300000	3.517826	1000	0.300000	0.300000	0.312634	
1000	0.302000	3.517826	1000	0.302000	0.302000	0.312593	
1000	0.283000	3.517826	1000	0.283000	0.283000	0.312477	
1000	0.301000	3.517826	1000	0.301000	0.301000	0.312433	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.312424	
1000	0.295000	3.517826	1000	0.295000	0.295000	0.312356	
